Jahr	Monat	Gesamt	
2008	6	19906,3	
2008	5	14333,84	
2008	4	59208,32	
2008	3	1940,12	
2008	2	4718,32	
2008	1	45765,59	
2007	12	4156,59	
2007	11	30329,06	
2007	10	51758,01	
2007	9	40937,41	
2007	8	46422,45	
2007	7	63746,42	
2007	6	41682,99	
2007	5	44024,69	
2007	4	35936,34	
2007	3	35500,6	
2007	2	17880,69	
2007	1	44581,33	
2006	12	27298,63	
2006	11	30132,88	
2006	10	32771,94	
2006	9	32657,25	
2006	8	29524,31	
2006	7	49386,02	
2006	6	61652,5	
2006	5	61772,85	
2006	4	38671,3	
2006	3	43969,65	
2006	2	44769,69	
2006	1	52679,91	
2005	12	16858,03	
